id_cliente,nome_cliente,status_negocio
1,Ursula Santos,lead
2,Xênia Rodrigues,qualificado
3,Henrique Pereira,perdido
4,Daniel Cardoso,lead
5,Sofia Gomes,lead
6,Ana Oliveira,qualificado
7,Henrique Melo,ganho
8,Ana Cardoso,qualificado
9,Wagner Cardoso,negociacao
10,Henrique Lima,ganho
11,Isabela Silva,qualificado
12,Wagner Gomes,proposta
13,Isabela Pereira,qualificado
14,Yasmin Barbosa,lead
15,Carla Carvalho,lead
16,Lucas Ribeiro,ganho
17,Isabela Souza,perdido
18,Olivia Cardoso,lead
19,Mariana Oliveira,ganho
20,João Ribeiro,ganho
21,Gabriela Oliveira,lead
22,Vitor Ferreira,proposta
23,Carla Ferreira,lead
24,Mariana Rodrigues,negociacao
25,Ursula Ribeiro,qualificado
26,Lucas Ribeiro,qualificado
27,Vitor Rodrigues,perdido
28,Vitor Oliveira,ganho
29,Ursula Costa,ganho
30,Xênia Ferreira,qualificado
31,Olivia Carvalho,proposta
32,Ursula Cardoso,qualificado
33,Vitor Barbosa,lead
34,Henrique Souza,proposta
35,Mariana Rodrigues,lead
36,Gabriela Barbosa,qualificado
37,Ursula Araujo,negociacao
38,Ursula Lima,qualificado
39,Isabela Pereira,qualificado
40,Xênia Cardoso,ganho
41,Isabela Gomes,ganho
42,Mariana Ribeiro,qualificado
43,Eduarda Melo,negociacao
44,Carla Souza,lead
45,Eduarda Costa,perdido
46,Nathan Oliveira,negociacao
47,Mariana Lima,ganho
48,Isabela Cardoso,lead
49,Vitor Santos,perdido
50,Rafael Rodrigues,perdido
51,Karina Santos,proposta
52,Nathan Costa,negociacao
53,Ana Rodrigues,ganho
54,Yasmin Costa,ganho
55,Daniel Martins,perdido
56,Queila Almeida,qualificado
57,Lucas Costa,ganho
58,Yasmin Melo,lead
59,Thiago Barbosa,negociacao
60,Ana Santos,proposta
61,Zeca Martins,qualificado
62,Bruno Ferreira,ganho
63,Carla Oliveira,perdido
64,Pedro Oliveira,ganho
65,Yasmin Pereira,qualificado
66,Vitor Araujo,ganho
67,Felipe Rodrigues,ganho
68,Thiago Gomes,qualificado
69,Rafael Almeida,perdido
70,João Carvalho,perdido
71,Ursula Ribeiro,negociacao
72,Queila Lima,lead
73,Henrique Ferreira,lead
74,Karina Silva,ganho
75,Rafael Ferreira,ganho
76,Henrique Silva,lead
77,Wagner Souza,qualificado
78,Carla Souza,proposta
79,Carla Melo,qualificado
80,Isabela Araujo,qualificado
81,Rafael Pereira,perdido
82,Sofia Araujo,qualificado
83,Zeca Araujo,negociacao
84,Gabriela Santos,lead
85,Vitor Gomes,proposta
86,Nathan Gomes,negociacao
87,Xênia Souza,perdido
88,Ursula Santos,lead
89,Mariana Barbosa,lead
90,Henrique Almeida,qualificado
91,Rafael Lima,qualificado
92,Nathan Costa,proposta
93,Olivia Ferreira,lead
94,Olivia Cardoso,lead
95,Bruno Cardoso,lead
96,Carla Ferreira,qualificado
97,Nathan Araujo,negociacao
98,Gabriela Carvalho,lead
99,Felipe Carvalho,lead
100,Mariana Rodrigues,negociacao
