id_cliente,nome_cliente,status_negocio
101,Karina Pereira,negociacao
102,Ursula Souza,lead
103,Rafael Santos,proposta
104,Sofia Souza,ganho
105,Gabriela Souza,lead
106,Nathan Gomes,lead
107,Henrique Oliveira,ganho
108,Nathan Souza,ganho
109,Daniel Ferreira,perdido
110,Ursula Souza,ganho
111,Sofia Carvalho,lead
112,Henrique Souza,ganho
113,Eduarda Martins,negociacao
114,Eduarda Cardoso,lead
115,Sofia Martins,ganho
116,Vitor Costa,lead
117,Sofia Almeida,proposta
118,Daniel Cardoso,perdido
119,Carla Souza,ganho
120,Gabriela Araujo,perdido
121,Rafael Gomes,proposta
122,Olivia Lima,proposta
123,João Ferreira,qualificado
124,Wagner Ferreira,lead
125,Sofia Martins,ganho
126,Pedro Barbosa,perdido
127,Olivia Martins,ganho
128,Carla Santos,ganho
129,Nathan Costa,proposta
130,Eduarda Araujo,negociacao
131,Bruno Oliveira,ganho
132,Sofia Barbosa,proposta
133,Wagner Ribeiro,ganho
134,Pedro Lima,lead
135,Carla Rodrigues,negociacao
136,Wagner Oliveira,lead
137,Xênia Martins,perdido
138,Sofia Lima,proposta
139,Wagner Carvalho,perdido
140,Lucas Silva,negociacao
141,Lucas Costa,ganho
142,Daniel Araujo,lead
143,Gabriela Martins,qualificado
144,Xênia Ferreira,negociacao
145,Mariana Araujo,lead
146,Felipe Lima,negociacao
147,Rafael Rodrigues,qualificado
148,Nathan Cardoso,proposta
149,Wagner Gomes,proposta
150,Vitor Carvalho,qualificado
151,Eduarda Oliveira,qualificado
152,Eduarda Ferreira,perdido
153,Henrique Silva,negociacao
154,Sofia Costa,proposta
155,João Silva,qualificado
156,Nathan Cardoso,proposta
157,Thiago Barbosa,qualificado
158,Wagner Melo,ganho
159,Ursula Souza,negociacao
160,Yasmin Cardoso,negociacao
161,Mariana Carvalho,negociacao
162,Daniel Araujo,perdido
163,Mariana Souza,qualificado
164,Carla Almeida,negociacao
165,Felipe Santos,proposta
166,Thiago Souza,lead
167,Ana Pereira,ganho
168,Daniel Ribeiro,ganho
169,Ana Oliveira,qualificado
170,Thiago Carvalho,qualificado
171,Ursula Rodrigues,proposta
172,Thiago Ribeiro,negociacao
173,Daniel Santos,negociacao
174,Olivia Araujo,negociacao
175,João Oliveira,qualificado
176,Daniel Barbosa,perdido
177,Isabela Araujo,perdido
178,Felipe Melo,lead
179,Gabriela Melo,proposta
180,Eduarda Cardoso,lead
181,Yasmin Melo,proposta
182,Ursula Oliveira,perdido
183,Isabela Melo,proposta
184,Felipe Ribeiro,qualificado
185,Rafael Cardoso,ganho
186,Karina Ferreira,ganho
187,Zeca Almeida,qualificado
188,Mariana Ferreira,qualificado
189,Queila Araujo,proposta
190,Xênia Silva,lead
191,Zeca Rodrigues,negociacao
192,Isabela Almeida,perdido
193,Thiago Ribeiro,negociacao
194,Zeca Ribeiro,proposta
195,Carla Ferreira,lead
196,Henrique Araujo,qualificado
197,Karina Almeida,negociacao
198,Thiago Silva,negociacao
199,Ursula Ribeiro,perdido
200,Carla Santos,negociacao
201,Zeca Almeida,negociacao
202,Felipe Gomes,perdido
203,Karina Oliveira,perdido
204,Mariana Lima,negociacao
205,Xênia Oliveira,perdido
206,Felipe Costa,qualificado
207,Ana Pereira,ganho
208,Olivia Pereira,ganho
209,Thiago Araujo,perdido
210,Lucas Pereira,ganho
211,Rafael Pereira,lead
212,Ana Santos,ganho
213,Xênia Pereira,negociacao
214,Gabriela Almeida,lead
215,Isabela Almeida,proposta
216,Queila Ferreira,ganho
217,Karina Rodrigues,ganho
218,Nathan Pereira,lead
219,Xênia Ribeiro,negociacao
220,Vitor Melo,negociacao
221,Queila Pereira,ganho
222,Eduarda Melo,ganho
223,Ana Lima,qualificado
224,Thiago Silva,qualificado
225,Felipe Pereira,negociacao
226,Thiago Santos,ganho
227,Bruno Barbosa,perdido
228,Queila Melo,ganho
229,Pedro Santos,ganho
230,Bruno Ferreira,qualificado
231,Isabela Souza,lead
232,Queila Lima,ganho
233,Ana Oliveira,negociacao
234,Karina Melo,ganho
235,Queila Almeida,perdido
236,Isabela Lima,ganho
237,Rafael Araujo,ganho
238,Henrique Melo,proposta
239,Rafael Almeida,negociacao
240,Eduarda Gomes,lead
241,Mariana Lima,proposta
242,Carla Ferreira,negociacao
243,Carla Almeida,perdido
244,João Santos,qualificado
245,Wagner Ribeiro,qualificado
246,Isabela Pereira,negociacao
247,Henrique Santos,negociacao
248,Pedro Costa,perdido
249,Henrique Costa,perdido
250,Nathan Melo,negociacao
251,Karina Gomes,qualificado
252,Lucas Barbosa,lead
253,Xênia Ribeiro,lead
254,Karina Cardoso,negociacao
255,Olivia Silva,negociacao
256,Karina Melo,ganho
257,João Melo,lead
258,Daniel Ferreira,lead
259,Carla Rodrigues,proposta
260,Bruno Costa,proposta
261,Yasmin Pereira,negociacao
262,Vitor Rodrigues,negociacao
263,Eduarda Cardoso,ganho
264,Sofia Araujo,perdido
265,Karina Oliveira,proposta
266,Bruno Costa,negociacao
267,Carla Rodrigues,lead
268,Ursula Oliveira,proposta
269,Carla Ferreira,lead
270,Isabela Santos,negociacao
271,Ana Barbosa,ganho
272,Nathan Rodrigues,ganho
273,Eduarda Souza,ganho
274,Wagner Ferreira,lead
275,Felipe Rodrigues,lead
276,Felipe Almeida,proposta
277,Ursula Martins,ganho
278,Yasmin Almeida,proposta
279,Olivia Melo,perdido
280,Felipe Rodrigues,proposta
281,Zeca Silva,proposta
282,Bruno Silva,lead
283,Xênia Melo,ganho
284,Gabriela Melo,negociacao
285,Henrique Lima,lead
286,Vitor Gomes,perdido
287,Pedro Cardoso,negociacao
288,Queila Martins,perdido
